City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,benito juarez,19.385,-99.165,16.9,67,75,5.14,MX,1724280905
84,egilsstadir,65.2653,-14.3948,5.95,93,100,6.69,IS,1724281162
85,chibougamau,49.9168,-74.3659,18.79,48,75,3.09,CA,1724281163
86,pangoa,-12.1167,-73.0,26.78,54,35,0.96,PE,1724281164
87,arraial do cabo,-22.9661,-42.0278,20.98,94,0,1.03,BR,1724281088
88,atafu village,-8.5421,-172.5159,28.11,77,40,9.62,TK,1724281167
89,nadym,65.5333,72.5167,9.69,81,55,6.34,RU,1724281168
90,petropavlovsk-kamchatsky,53.0452,158.6483,15.33,51,0,3.0,RU,1724281169
91,malango,-2.9627,119.9001,19.55,96,100,0.51,ID,1724281170
92,susuman,62.7833,148.1667,9.95,61,27,1.03,RU,1724281171
93,shigony,53.3875,48.6777,14.24,67,0,2.78,RU,1724281172
94,sirsilla,18.3833,78.8333,24.8,92,99,2.45,IN,1724281173
95,ilulissat,69.2167,-51.1,5.01,81,20,1.03,GL,1724280946
96,chaoyang,41.5703,120.4586,22.86,94,15,1.77,CN,1724281176
97,happy valley-goose bay,53.3168,-60.3315,17.17,51,20,4.12,CA,1724281177
98,papao,-17.75,-149.55,28.82,64,17,11.53,PF,1724281178
99,east london,-33.0153,27.9116,14.09,53,57,11.76,ZA,1724281179
100,center,31.5107,-96.4247,37.22,39,0,5.19,US,1724281180
101,xinzhou,38.4092,112.7333,20.5,71,2,0.61,CN,1724281181
102,bilqas,31.2145,31.358,23.67,85,0,1.98,EG,1724281182
103,ulladulla,-35.35,150.4667,17.03,49,100,3.52,AU,1724281184
104,west island,-12.1568,96.8225,25.99,83,96,2.57,CC,1724281185
105,sitka,57.0531,-135.33,18.94,55,0,6.17,US,1724280952
106,nova sintra,14.8667,-24.7167,26.21,69,78,2.66,CV,1724281187
107,college,64.8569,-147.8028,9.76,76,100,0.26,US,1724281188
108,pemba,-12.974,40.5178,25.12,83,75,3.6,MZ,1724281189
109,nemuro,43.3236,145.575,18.18,86,100,6.97,JP,1724281190
110,hammerfest,70.6634,23.6821,17.25,67,20,6.69,NO,1724281191
111,egersund,58.4513,5.9997,13.76,82,51,5.1,NO,1724281193
112,aasiaat,68.7098,-52.8699,0.68,84,30,2.0,GL,1724281194
113,port mathurin,-19.6833,63.4167,21.23,68,100,12.72,MU,1724281195
114,mount isa,-20.7333,139.5,21.87,35,0,1.54,AU,1724281196
115,st. john's,47.5649,-52.7093,15.19,95,100,5.14,CA,1724281012
116,teykovo,56.858,40.5369,12.15,77,95,1.72,RU,1724281198
117,thompson,55.7435,-97.8558,28.09,57,75,2.57,CA,1724281199
118,queenstown,-31.8976,26.8753,5.11,87,32,1.54,ZA,1724281202
119,new norfolk,-42.7826,147.0587,10.95,61,20,3.47,AU,1724281203
120,todos santos,23.45,-110.2167,29.69,73,67,2.12,MX,1724281204
121,invercargill,-46.4,168.35,10.57,65,81,2.68,NZ,1724281205
122,constantia,44.1833,28.65,22.38,73,34,3.69,RO,1724281206
123,cabo san lucas,22.8909,-109.9124,29.5,65,100,4.15,MX,1724281020
124,montmorillon,46.4167,0.6667,13.71,58,30,3.21,FR,1724281210
125,ola,59.5833,151.2833,14.54,58,8,5.67,RU,1724281211
126,peniche,39.3558,-9.3811,19.14,92,11,7.01,PT,1724281212
127,vredendal,-31.6683,18.5012,8.08,69,52,3.43,ZA,1724281213
128,kapuskasing,49.4169,-82.4331,22.0,40,20,1.54,CA,1724281214
129,nyala,12.05,24.8833,21.27,93,100,4.6,SD,1724281215
130,baskale,38.0453,44.0172,17.25,47,65,0.77,TR,1724281216
131,patti,31.2808,74.8572,26.34,85,20,2.17,IN,1724281217
132,mwinilunga,-11.7358,24.4293,15.54,36,89,1.59,ZM,1724281218
133,murud,18.3258,72.965,25.9,89,98,2.24,IN,1724281220
134,vila franca do campo,37.7167,-25.4333,23.23,86,33,1.18,PT,1724281221
135,badger,64.8,-147.5333,11.36,70,100,0.0,US,1724281222
136,selfoss,63.9331,-20.9971,8.36,80,99,2.64,IS,1724281223
137,bodaybo,57.8506,114.1933,14.49,83,25,0.35,RU,1724281224
138,bikenibeu village,1.3673,173.1241,30.98,66,20,4.12,KI,1724281225
139,calvinia,-31.4707,19.776,4.21,82,64,2.54,ZA,1724281227
140,opuwo,-18.0607,13.84,18.63,14,0,2.7,,1724281228
141,lerwick,60.1545,-1.1494,12.86,94,100,14.71,GB,1724281229
142,laguna,38.421,-121.4238,31.84,28,0,4.63,US,1724281230
143,conduaga,8.862,117.4893,26.52,84,100,1.32,PH,1724281231
144,taoudenni,22.6783,-3.9836,40.75,17,61,5.4,ML,1724281232
145,puerto baquerizo moreno,-0.9,-89.6,21.55,83,100,7.2,EC,1724281217
146,fort-shevchenko,44.5086,50.263,27.49,38,0,4.07,KZ,1724281234
147,bengkulu,-3.8004,102.2655,23.68,84,43,2.52,ID,1724281236
148,tondano,1.3038,124.9112,21.05,98,100,1.08,ID,1724281237
149,la passe,45.5549,-0.8967,15.66,75,1,3.33,FR,1724281238
150,abancay,-13.6339,-72.8814,18.78,47,50,3.59,PE,1724281039
151,macas,-2.3167,-78.1167,21.86,78,40,3.6,EC,1724281242
152,san salvador,13.6894,-89.1872,24.37,99,40,3.09,SV,1724281024
153,mata-utu,-13.2816,-176.1745,26.56,78,20,9.38,WF,1724281245
154,soe,-9.8607,124.284,20.27,71,67,1.62,ID,1724281246
155,smithers,54.7804,-127.1743,16.18,59,75,2.57,CA,1724281247
156,rajgarh,28.6333,75.3833,32.09,56,95,2.97,IN,1724281248
157,tual,-5.6667,132.75,25.77,88,98,7.87,ID,1724281249
158,nahiyat ash shinafiyah,31.5874,44.6602,36.91,11,0,3.21,IQ,1724281250
159,lhuentse,27.6679,91.1839,19.32,94,91,0.69,BT,1724281252
160,greymouth,-42.4667,171.2,6.14,94,100,2.63,NZ,1724281253
161,harper,4.375,-7.7169,24.79,84,95,3.58,LR,1724280978
162,cidreira,-30.1811,-50.2056,17.15,94,91,9.23,BR,1724281255
163,fereydun kenar,36.6864,52.5225,25.6,58,0,1.49,IR,1724281256
164,clearwater,27.9659,-82.8001,31.34,63,0,2.06,US,1724281257
165,fale old settlement,-9.3852,-171.2468,27.85,77,72,8.67,TK,1724281258
166,serhiyivka,46.0272,30.3768,24.17,55,99,3.75,UA,1724281259
167,weno,7.4515,151.8468,28.67,70,77,1.61,FM,1724281260
168,mora,11.0461,14.1401,24.73,78,100,2.01,CM,1724281248
169,plouzane,48.3833,-4.6167,13.89,89,0,4.63,FR,1724281263
170,tabas,33.5959,56.9244,26.8,15,0,0.8,IR,1724281264
171,buk,52.3553,16.5196,13.67,67,34,3.53,PL,1724281266
172,bilibino,68.0546,166.4372,7.79,75,100,1.91,RU,1724281267
173,tazacorte,28.629,-17.9293,22.54,88,7,6.69,ES,1724281268
174,oropesa del mar,40.1,0.15,26.35,70,98,5.16,ES,1724281269
175,saipan,15.1355,145.701,30.39,79,20,4.12,MP,1724281031
176,geraldton,-28.7667,114.6,17.23,88,75,8.23,AU,1724281055
